Rang,Modèle,Config,R²_train,R²_test,RMSE_test,MAE_test,RPD,Biais,CV_mean,CV_std,Score
18,RandomForest,Standardisé,0.962673487141569,0.7691785871015069,0.25493960287657663,0.1923858108108138,2.0814306835504843,0.07122094594595238,0.7229653710367986,0.0220775536329349,0.6818670947347363
19,RandomForest,Brut,0.9625981043066199,0.7682324290637763,0.2554615788666251,0.19262905405405678,2.077177766745602,0.07135743243243889,0.7213148898450346,0.02259871422259686,0.6807187171786282
20,ExtraTrees,Brut,0.9999999574887706,0.7661673561644848,0.25659714943725903,0.19116229729730305,2.0679852174633346,0.07368297297298107,0.7477951833472445,0.017414295753878605,0.6782241926726463
21,ExtraTrees,Standardisé,0.9999999574887706,0.7661673561644834,0.2565971494372598,0.19116229729730427,2.0679852174633284,0.07368297297298113,0.7477614476859238,0.01739919392130901,0.6782241926726446
22,Ridge,Standardisé,0.7649579376319245,0.759799799873139,0.2600674143721293,0.20222463025362075,2.0403906162584162,0.06326580766128295,0.7147742238235238,0.05376742001068499,0.6706321688053918
23,Ridge,Brut,0.7536455994322905,0.7595291658865221,0.26021388233318626,0.20015019051457333,2.03924213082542,0.07048784647081442,0.7179730934307532,0.039856058099064826,0.6703127356156703
24,PLS,Standardisé,0.7649182782141801,0.759283722449307,0.26034664583674455,0.20246109372704188,2.038202221403803,0.06296667806840617,0.7135527390952332,0.054104903758862115,0.6700232588099998
25,PLS,Brut,0.7649182782141801,0.759283722449301,0.26034664583674777,0.20246109372704393,2.0382022214037776,0.0629666780684187,0.7135527390952331,0.054104903758860734,0.6700232588099927
26,XGBoost,Standardisé,0.9959314392203381,0.7525697735662659,0.2639524112495559,0.20244733965074688,2.010359024065838,0.09029733296987155,0.7071723220767316,0.03999746338527699,0.6621854272378807
27,XGBoost,Brut,0.9959314392203381,0.7525697735662659,0.2639524112495559,0.20244733965074688,2.010359024065838,0.09029733296987155,0.7071723220767316,0.03999746338527699,0.6621854272378807
28,Lasso,Nettoyé+Stand,0.6445172461544055,0.7553016024833896,0.27072128175746063,0.22149409407115989,2.021549767036693,-0.005399390563566841,0.6241480828823436,0.07340822965100631,0.6604765508208512
29,GradientBoosting,Standardisé,0.9983332650534136,0.7392806546655132,0.270947960242526,0.20646744217988705,1.9584539828404903,0.07931463839671851,0.6877381581344169,0.05499222366911264,0.6471027163545765
30,ElasticNet,Standardisé,0.7351933651873979,0.7362860341856502,0.2724995706546126,0.2167242864262558,1.9473025612655208,0.06398535118935546,0.7124263697861215,0.032334940541775214,0.6437776311737949
31,GradientBoosting,Brut,0.9983332650534136,0.7338734618102463,0.2737432062911028,0.2085994947309344,1.9384558216768744,0.08038399486172065,0.6834378749877738,0.056403768759482414,0.6411174756043903
32,Lasso,Standardisé,0.6802618780065751,0.6826163792190519,0.29894515045086045,0.24515454161198394,1.7750383676710837,0.06826339761706221,0.6556563476731487,0.03435822089584506,0.5879803668956094
33,SVR,Nettoyé+Stand,0.9642391782563616,0.5572738873765692,0.36414504431476047,0.2565110196975068,1.5029081203027808,-0.0037167943065208684,0.4508968061065895,0.1702336067985692,0.46972506086110954
34,SVR,Standardisé,0.9696127328498182,0.4173354360341003,0.4050499291825333,0.2890944529468343,1.3100585227860948,0.11744059059028468,0.49946876660684136,0.08957777654525961,0.3686188716898442
35,ElasticNet,Nettoyé,0.33364058052922063,0.380045943798463,0.4309100149974403,0.35251006083511893,1.2700483280063017,0.051491223074775126,0.2921371746949526,0.06601236598928206,0.3340392740611503
36,Lasso,Nettoyé,0.30842956098092555,0.34756826444780087,0.4420530321592643,0.36336848938137095,1.2380336843193396,0.050101001852463946,0.2684180124127081,0.050233733378679944,0.31097559297535404
37,ElasticNet,Brut,0.3801769345336663,0.3340913155116001,0.4330186451326016,0.3533544968613194,1.2254417167579155,0.11351106564786935,0.3183769742181983,0.12442415431664286,0.30957791241257615
38,Lasso,Brut,0.34860245213029295,0.29975292067005155,0.4440428796975494,0.36487830115712555,1.1950177249569134,0.1098267789162373,0.28669990215524677,0.11065488071805817,0.2860125815628338
39,SVR,Brut,0.13095147641120253,0.2016147456290155,0.4741388161867152,0.3838848415777522,1.1191640375432095,0.06920683441072455,0.07638733881852455,0.07623071795794775,0.22070153823590163
40,SVR,Nettoyé,0.12092376192595322,0.14515871350828446,0.505998907976811,0.425116818292904,1.0815765319670414,0.0353763259580209,0.06691985340242643,0.03371646743596418,0.17516029345860543
